CONTRAST,CORRELATION,ENERGY,Homogeneity,ENTROPY,SUM OF SQUARE,INVERSE DIFFERENCE MOMENT,SUM AVERAGE,SUM VARIANCE,SUM ENTROPY,DIFFERENCE VARIANCE,D.ENTROPY,INFO.CORR 1,INFO.CORR 2,OUTPUT
0.0969,0.9075,0.5062,0.9665,1.0713,7.3296,0.9987,5.2475,19.9108,1.0149,0.0969,0.2551,-0.7075,0.8312,0
0.1394,0.9504,0.2765,0.9479,1.6913,13.441,0.998,6.967,34.1625,1.6109,0.1394,0.3515,-0.717,0.9217,0
0.1448,0.9473,0.3044,0.9466,1.6373,13.4198,0.998,6.9692,34.7122,1.5508,0.1448,0.359,-0.7009,0.9109,0
0.1158,0.9387,0.278,0.9588,1.6156,9.1731,0.9984,5.7665,21.4894,1.5441,0.1158,0.2973,-0.7554,0.9272,0
0.093,0.913,0.4932,0.9671,1.1011,7.3228,0.9987,5.2402,19.5998,1.0503,0.093,0.2483,-0.7181,0.8423,0
0.1226,0.9241,0.3635,0.9558,1.3968,9.4198,0.9983,5.8982,24.0231,1.325,0.1226,0.3124,-0.7035,0.8838,0
0.1225,0.9118,0.2756,0.951,1.5719,6.7107,0.9983,4.9362,14.4686,1.4991,0.1225,0.3261,-0.7089,0.9069,0
0.1227,0.9412,0.3159,0.9581,1.4548,11.3884,0.9983,6.4601,29.7836,1.3874,0.1227,0.3032,-0.7318,0.9022,0
0.1359,0.9405,0.259,0.9526,1.6989,10.7103,0.9981,6.216,25.5673,1.6184,0.1359,0.3292,-0.7366,0.9286,0
0.1126,0.9486,0.5286,0.9679,1.0853,13.5915,0.9985,7.0972,41.0172,1.0351,0.1126,0.2551,-0.721,0.8413,0
0.1069,0.8891,0.361,0.9584,1.3109,5.2767,0.9985,4.4109,11.8102,1.2503,0.1069,0.2908,-0.7112,0.875,0
0.1085,0.8855,0.3413,0.9594,1.3038,5.4769,0.9985,4.5036,12.4564,1.2371,0.1085,0.2907,-0.7153,0.8755,0
0.0969,0.9075,0.5062,0.9665,1.0713,7.3296,0.9987,5.2475,19.9108,1.0149,0.0969,0.2551,-0.7075,0.8312,0
0.1069,0.8891,0.361,0.9584,1.3109,5.2767,0.9985,4.4109,11.8102,1.2503,0.1069,0.2908,-0.7112,0.875,0
0.1216,0.9215,0.383,0.9554,1.3765,9.161,0.9983,5.8218,23.382,1.3044,0.1216,0.3134,-0.699,0.8789,0
0.1019,0.876,0.4184,0.961,1.2369,4.4993,0.9986,4.0739,9.902,1.1823,0.1019,0.2762,-0.6851,0.8516,0
0.1069,0.8891,0.361,0.9584,1.3109,5.2767,0.9985,4.4109,11.8102,1.2503,0.1069,0.2908,-0.7112,0.875,0
0.1216,0.9215,0.383,0.9554,1.3765,9.161,0.9983,5.8218,23.382,1.3044,0.1216,0.3134,-0.699,0.8789,0
0.1216,0.9215,0.383,0.9554,1.3765,9.161,0.9983,5.8218,23.382,1.3044,0.1216,0.3134,-0.699,0.8789,0
0.0911,0.9579,0.2878,0.9556,1.5814,13.2016,0.9986,6.9949,34.2374,1.5171,0.0911,0.3039,-0.7364,0.9175,0
0.1122,0.9447,0.2911,0.9468,1.5949,13.6738,0.9983,7.1471,35.6825,1.5138,0.1122,0.347,-0.6896,0.9019,0
0.0732,0.9619,0.2773,0.9637,1.6246,10.3105,0.9989,6.1462,24.6874,1.5729,0.0732,0.2618,-0.7822,0.9359,0
0.0769,0.9623,0.2575,0.9617,1.6656,10.9552,0.9988,6.3353,26.3178,1.6116,0.0769,0.271,-0.7796,0.9386,0
0.0525,0.9662,0.33,0.974,1.3945,11.1273,0.9992,6.4669,29.1653,1.3573,0.0525,0.2055,-0.8107,0.9223,0
0.0682,0.9577,0.3315,0.9661,1.3943,11.4178,0.999,6.547,30.2039,1.3464,0.0682,0.2489,-0.7654,0.9069,0
0.0667,0.963,0.3492,0.9673,1.4055,12.5365,0.999,6.8532,33.732,1.3581,0.0667,0.2441,-0.7711,0.9103,0
0.0494,0.9688,0.3912,0.9757,1.2723,12.4356,0.9992,6.8565,34.6955,1.2371,0.0494,0.196,-0.8066,0.9061,0
0.0566,0.9657,0.3792,0.973,1.2666,12.617,0.9991,6.8988,35.4075,1.2272,0.0566,0.2137,-0.7884,0.8987,0
0.0681,0.9618,0.3104,0.9618,1.5197,12.1728,0.999,6.75,31.3629,1.4712,0.0681,0.2484,-0.779,0.9254,0
0.0776,0.9412,0.3541,0.9614,1.4336,8.3552,0.9988,5.5795,20.2069,1.3788,0.0776,0.2729,-0.742,0.9031,0
0.0814,0.9442,0.3334,0.9595,1.4756,9.3744,0.9987,5.9121,23.0261,1.4184,0.0814,0.2821,-0.7367,0.9062,0
0.0857,0.9479,0.2766,0.9578,1.5995,9.1645,0.9987,5.8072,21.4301,1.538,0.0857,0.2919,-0.7485,0.9233,0
0.0648,0.9618,0.2688,0.9676,1.5612,9.0014,0.999,5.7429,21.189,1.5163,0.0648,0.2399,-0.7971,0.9347,0
0.059,0.9589,0.3579,0.9709,1.3845,9.6803,0.9991,6.0211,24.7059,1.3422,0.059,0.2236,-0.7875,0.9139,0
